ExpectedRC,Command
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery2 --duration PT1m -id IdChainSampler -import './src/test/AirRoutesQuery2-Chaining-Ids.csv' -prom -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out(''REL_DEVICE_TO_INDIVIDUAL'').in(''REL_DEVICE_TO_INDIVIDUAL'')' -a 34.123.43.17 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar --help"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar TestRun --no-prometheus -d 15 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar --version"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -export './src/test/idsexport.csv' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -label city -import './src/test/ids1*.csv' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -import './src/test/ids1*.csv' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -import './src/test/idsexport.csv' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -import './src/test/ids100.csv' -prom -background"
4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1m -label city -import './src/testnone' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 1M -t evaluationTimeout=30000 -t paging=2 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 5M -s 10 -w 20 -q 1000 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 5M -s 10 -w 20 -q 1000 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT5M -wu PT2M -s 2 -prom --HdrHistFmt -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -n 10.0.0.1,10.0.0.2,10.0.0.3 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 5M -wu 2M -s 1 -w 10 -q 500 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d 15 -s 1 -w 10 -prom -debug -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -q 100 -s 1 -w 1 -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -b junkptop=1 -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -b maxConnectionPoolSize=-1 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -b maxConnectionPoolSize=8 -g evaluationTimeout=30000 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -b maxConnectionPoolSize=8 -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -b maxConnectionPoolSize=abc1 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -s 1 -w 10 -prom --HdrHistFmt -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -s 1 -w 10 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery1 -d PT1M -background"
